Search_Engine,Search_String,Publisher,Title,Link,Date
Google,tata merger,ET Now,Tata Capital and Tata Motors Finance merger: NCLT asks NBFCs to seek shareholders' nod,./read/CBMi1AFBVV95cUxQN2RXU2xsbGxKNXJLVExuTXdlUks2SkxxNlpyNXRUOVFXdktHdGRveDFIQ2p3RHl6QmlVdHVQUU11amZJbXBfM0NZdEZ0bnlaVldzLVgydHQyd1p5MkF1NHBwRnR0VGp1eUFjMWlfZGFDb25qNkNpX2FpMlNpX2hUZVZlSzIyUlBHLS1zOXZUT0RRSzh5TnJfTDN6NndDQmlkWXg5dW5QckdEWUFrRmptemhFU2tEMHN4emxxZEgtSHIyNkhLc0pYNTNOSFRHSHNaVnFSMNIB2gFBVV95cUxOdV9MOUR0Q1Q1Z0swYzBpZWhMLVVhdG1FWEdBbG9OQXNCY0hWS2dNVXFPREwtbVdDZ25oSHlCc0d4OXBMMHpKX0lBWVFxMk1pczM3NHNUb2F1aWo3Z2tfR1BfUnJUMk4zb29Pa3pyY0hKNEJBbmlSX19uNVozblRjcVZGLTJZRE96cjE5ZGZaelQ5QmJQWklmZmZ3S3JGNnBpZ09OZGkxaWl0OEE1UFJPSy1qTTB6RXdycUdlWHRGdTdna3lpYzZOaVJ3ZXVvM2ZFemVtUnl5Y0NrQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-07
Google,tata merger,Live Law - Indian Legal News,CCI Approves Proposed Merger Of Tata Motors Finance Limited With Tata Capital Limited,./read/CBMiygFBVV95cUxQbTJidEtKbjRaWjRGaFBNbXkycGZSRExSbmtRbkl0WFRLakhFMGliNHpaWjdjRGVkQVVvSjdSaUdPazBLcHJSWnFsVy16UjdVV0ZSb0hVTklWcVJHdm1mWmJ3c0tfZHpwYnBabkdPNVh4TERraXA2cHM1Q2NlN3lTMmYzcU5MNWlaWjNtTXAwM2lTbmkwYkJhdUJXSkxqUkJsRDQxLWY3UE1kMXRQR1FHMl9RVEFEN29vaFkwa3FPZUhyWG5sTU5sUkNn0gHPAUFVX3lxTE0zTW0yY3ZqRXgzWFFhT3pKZWxzaG9ONXJZMkppb3hEWkNVeGhSMlRLR2dNZDl0M2FzQVJ4WlZjbGV3MUszejNkSl9KSGVQUGo4djFKQ0JWN0dwal9QRUlfOW9JUU5idF82eHU1bXBOVlcxZzNBZGswN1NtRXM4b1NOYnRmSjFTd3dpajR5YkwzaDlySTNNbkpuV1JRRC1XUkFEbkJfSmFENGtBcG5PbFZuZ056LXNac2doTnZEejBJYURORkVxU0o3U2VJcERoRQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-12
Google,tata merger,Business Today,'Air India-Vistara merger important milestone to transform it into world-class global airline': Tata Group chairman N Chandrasekaran,./read/CBMipwJBVV95cUxQeklhZ3FWSHZncDVDOGxhVUgxdlAzTUowQWJJdGwwdm83MVdlUEg3ckpzYTd1M3NBUXNNdXg0OGpCMFQ4d0tiT09GelByb01ucnFkSnE2c28xb3dCTmJVQTJrbW1RaGhKc1RPRFpFVVJLOWdHWWlEMDR5NlJfM2ZMWnVGS1d5b2wyNG1oTUpiWEllRkNYRzNUYWRERGkzUk1mVWJRVGZNZENJb3I5WWhEQ3E0WDNMWkZUWGdTQVU5RjdiUFBzcm5ncGlvNjJOeUk4eUtVcUVPVmxVQmwtajNLZUtpS3BpMUJnSXBHa0UzcFB5MGVyNFk3T3htd0h0cFY0UXZlMEN6b04wdl9uYVktN0NqT2tHdTVJY1F2WUZZblFCNDVSUXVj?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-14
Google,tata merger,The Financial Express,Air India-Vistara merger finalised – Tata Group's airline now India's biggest international carrier - Airlines/Aviation News,./read/CBMi9wFBVV95cUxPT2RzOWlKRTlNOThmalItVEVMM0VBLXZXV3lYNmRLRF9HcjJycGktQ0h6N013dkVSeEFjckk4SlE2RnVjclZyZUlKTTVsZm1QenhCYjhscFUxck16RlU2X2R2Q3JBRTZZR2c0TC1Ja2wwWi1CTE0yS3p1ZGoxR1Zpd0FBWklJRWJ1dFBNNTlENWdoNkF0QllHOC1ZallZTGtPOEg4WHJwZ2xYckZkSE1tTDYxOUk3TDBYel9WOGhnWmpYdkR2TlJBcm1EM1B5b2h3cHFEeV8xSDBMOHVyVUptalVXX2JFN3lnQVNJVGpuNDdROU9oOTVV?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-13
Google,tata merger,The Economic Times,NCLT asks two Tata NBFCs to seek merger nod from stakeholders,./read/CBMi4gFBVV95cUxQMFBUM0x2dkdDYjJBWHdlb3lCOG9ieWpEU0N1QlNLWTFNMFQtTUV2ZTYwbE9UdG9LR0NyZmZtNVdRSkJkdUFTbkxsekpXa212SEs3SUhlV1B1TE84TzgtekNEdXhpSGx1YUVzVGNrNVhCSzY5Um5vbklfQlZlSUtLRHlIS19NMHZzYzdXWHY3RFFXNmpCXzVveWVVSUxMR0VPQXdjMXA3eHFKMGFDV0tqSjl5VWY2dmlGU0tqcDJ0Qko5WDNhSmxmVngyRFFEZnB4ZzRsZzFfdWl2eERBT01rYl9B0gHnAUFVX3lxTE9IMFRROEVwLVQ0RmJpM2lLNUIyaTFBT1BGeXBYSWVEbENoWkttS1lqc0tlb0RnYjh6UFVHVTlpWmRMQV96TV9RQWoxbWtIb3BvYjlTNGRpTTc1NnZYX0VyRTNyR0o1UE9XaXJwN1ZQU0QwVjd6bUpKTHNHWlhmbHF5dkV6V1NkV3hfMjNFeEVjU0NRaEtlandseEFyMWxCbjFDQm1FUk1pd1JTRGNsMDdoV3I3ak1CMy1OOGxfZ055T1Z2cmZMMTdzd3hVVWdzeDEwdFA3YU13RkxtZFlfdS11dmh0NTdQWQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-07
Google,tata merger,Business Standard,CCI clears proposed merger of Tata Motors Finance into Tata Capital,./read/CBMi0gFBVV95cUxNX191dEI2RGt3N3pVdlZ3bUQtZnZpWnZYV3VtaE1GVGtoZGxGVDhTejhYaWdlYXVxbnJuZVY4ZEpSRklVbXplaEpaWFh5YUR0bU5abDJ6aUxBcllQN1VxZ0c2YVB5S1QzTWVkWXpYR0RCNG91RE9HYkhQLXJZeWctc19CaFNwMm5hbk5TWXdGTE8zT2s2VU5EdWRCVWhZTW51MF8tWUt6NUVVc3RicU15d19XblA4QkFNZnNENDlyNDJWbW9FWHVRTVh1eGdYRy1YMVHSAdcBQVVfeXFMTlhjQkxiNGZDM2tTN1pZeE9IRWhaUWItX1NkRHRhSzNzZHR1V1RyYVQtVUFISlRjaXEtOGlrYnBZSTZZN2RnRG5mM2swZ2FGWkpZNUJ3bThSanRReTQxQTV5VzQxb1NZQklmUE9WdUZESEVvenhHVzlTRDh5Yjd2SHBCem9yR1NGTDFPc3pDS3V2YlZ6dmJkdGpzaWE1eHN5b1FSR0c1ZXMxcXU1bG9uUGVIczNZWFN5UlVPQ0hNUzhsa1pUZGp0Q0ttOXUyU01BTTBWRlA5eTg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10
Google,tata merger,Business Today,Bharti Airtel-Tata Play entity may not have representatives from Tata Group on board,./read/CBMi6gFBVV95cUxNbGlhLVFMZ1luTndYWGYxcnF6bWU0ajlpZlBNTVFRZVVxd056bG5EbTl6NVM5T1lBVXBJVUZlaUJqYVp5VmYzclBsdGpMd0xYRkdCWGFtYjAyVS1nQkZaZldLaFQyLXJSWE5XMnh0cGttdDlUTDJUSUpaQmg4YnpodWx4MzE0M3BBbHM0b0ExWTFsQjQ5ZGlKQjk2R3pGaVJYTFRqUGd5YU1HUU9VQ0QzdUJFZW5UWUNSZS16Q3VxNkxjM0c1RmktZjYzSURFMVd6dkdlbVVhWFVtVlRJRFU0NU9Cc0YxMDYzVGc?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-07
Google,tata merger,CNBCTV18,Tata Motors Finance merger with Tata Capital gets CCI approval,./read/CBMiqwFBVV95cUxPdV90VG44NFZHTDBWLU5WXy0wZjU4dFJhU2VZT184NmxqSlhhYWtzOVNDSVF3SUh1dFIzY3h4VlBVNV9ZODExczZlanIyMDdJYXhTQVMtMVUwUnBLcXFfZjhZTFJ5cnZpem5mc1JXR0pKVS1WZGR4RURjek5hNjUzeG5ydGVzb3A0TlVVcmM2d0tkYmZoWm5LSXRUM2VDYmNINVhkTE0tLVI2OVHSAbABQVVfeXFMTktrdmdzMUJBaElpLU93eUVYSUNwS1JDeWhvaGs3TWh1eFRhSVJfZ3gydnN3STNVNjl0SHdkMWlUVjVPeFFGVE1LQjlKNXUzREZydFZacjNhTjBOTkNyR3RXZmRyVUlnLVFxbGkySnpIUDdJRDRFUmE5LWRRWVRKUHZrRUVXLUJ1dnZRN1FQQ3JNd2tEMXd6UmM1N3pSTkhPSjNMbS1Wdnk4Tnc3WGJIemM?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10
Google,tata merger,The Economic Times,"Vedanta, UltraTech, Tata Motors among 8 mergers and demergers to track",./read/CBMingJBVV95cUxQQ1Aza1FHb2JwQmNCendXLVpMR0JhN0sxLWQxa09QQ0dBZHh1Z3BLek15X2J0QThPcl9ESUZ5eVdZbzIwMndMMUNNSWVGcFIwNXdKd09DWnkyRHdBd1lDYUViX1k3YzcxQ0JTM1lxY3JJTXFYSnVaWFlHNzVaNURfNDRQRzRpb08zMGNuaTFXc0RVQUxvZ280aVA4OFh2M21XTnRZREJJLVI3NlBkR3dzbE9XVzdhRzlOMzNXaXdCMk42RVhDNkc2cXdZZ1pZS3BNTi1YUmoxNHN6eTJSUkowYzdYV0drc2xGbFlYNlJ4QmRybDhGYjJkQWZkQ2dDOEY4M0JQbU1rWllnYUFaTzU4em5wUm9sNk5rb1FTb2VR?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-29
Google,tata merger,Business Today,CCI okays merger of Tata Motors Finance and Tata Capital. Key details,./read/CBMi2AFBVV95cUxPRmtjMFNqSVZ6VUs1WkVaQk1HT2ZyRmQ5aXdiOGQyZ0tfX3RKS0xsaWp6MG1Tckl5VXBDWTFiV0hQV0xiQTlhWjNEMHh1Zk1Za0MxSTBZQU5leExBdUgwdW9BeHBjVDB6VEJOeDhuWDUtRWN0dVg3bFhuS0NKemZHWnVQVjVRQ3hEVlRvOEZ3YzFMTWFNdzNydGJFcWh3bkFGWV9wYk5VeWZZS3F2TUNYbnh6TzRVTEdQQ2p5NG1xTXQyT05WN1REY1NQM3RicVR6ZUtQT1BkVXQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-10
